index,size,seed,open_cells,start_row,start_col,end_row,end_col,moves,overlaps,path,grid,image,source,source_id,user,config_id,config_label,move_fraction_u,move_fraction_d,move_fraction_l,move_fraction_r,turn_rate,mean_run_length,max_run_length,min_run_length,run_length_std,cluster,cluster_distance,cluster_rank,projection_x,projection_y,image_href
62,10,59,78,0,0,3,0,85,8,rrrrrrrrrdddddddddllllrrruuuuuuuulddddddluuuuuulddddddlulllddrdlluruurruulururulllldd,1111111111/1111111111/1001111111/1011011111/0011011111/0001011111/0111111111/0100111111/1110000011/1110011111,human_images/human_config2_attempt0062.svg,human,human-62,jww8vb,2,config 2,0.2705882352941176,0.3058823529411765,0.2117647058823529,0.2117647058823529,0.3571428571428571,2.7419354838709675,9.0,1.0,2.4752678830001136,0,8.1735,1,22.75891,-2.96563,../../human_images/human_config2_attempt0062.svg
34,10,59,78,0,0,8,2,88,11,rrrrrrrrrdddddddddllllrrruuuuuuuulllllllldduurrrdrrrrdddddluuuulddddluluuuldrddllddldrru,1111111111/1111111111/1001111111/1011011111/0011011111/0001011111/0111111111/0100111111/1110000011/1110011111,human_images/human_config2_attempt0034.svg,human,human-34,6mncs5,2,config 2,0.2159090909090909,0.3068181818181818,0.2272727272727272,0.25,0.3333333333333333,2.933333333333333,9.0,1.0,2.475659283683618,0,9.3471,2,10.85621,2.74303,../../human_images/human_config2_attempt0034.svg
48,10,59,78,0,0,8,2,88,11,rrrrrrrrrdddddddddllllrrruuuuuuuulllllllldduurrrdrrrrdddddluuuulddddluluuuldrddllddldrru,1111111111/1111111111/1001111111/1011011111/0011011111/0001011111/0111111111/0100111111/1110000011/1110011111,human_images/human_config2_attempt0048.svg,human,human-48,rxswju,2,config 2,0.2159090909090909,0.3068181818181818,0.2272727272727272,0.25,0.3333333333333333,2.933333333333333,9.0,1.0,2.475659283683618,0,9.3471,3,10.85621,2.74303,../../human_images/human_config2_attempt0048.svg
66,10,59,78,0,0,1,2,87,10,ddduururrrrrrrrdddddddddllllrrruuuuuuuulddddddluuuuuulddddddlulllddldrruluurruulururull,1111111111/1111111111/1001111111/1011011111/0011011111/0001011111/0111111111/0100111111/1110000011/1110011111,human_images/human_config2_attempt0066.svg,human,human-66,nnqd8q,2,config 2,0.2988505747126437,0.3103448275862069,0.1839080459770115,0.2068965517241379,0.3837209302325581,2.5588235294117645,9.0,1.0,2.3160714261894157,0,10.9046,4,25.67107,-0.4366,../../human_images/human_config2_attempt0066.svg
46,10,59,78,0,0,3,0,91,14,rrrrrrrrrdldrdldrdldrdddllllrrruuluuuuuulddddddluuuuuuldlddddrdulllddrdlluruurruuluruullldd,1111111111/1111111111/1001111111/1011011111/0011011111/0001011111/0111111111/0100111111/1110000011/1110011111,human_images/human_config2_attempt0046.svg,human,human-46,z7xngq,2,config 2,0.2527472527472527,0.2857142857142857,0.2307692307692307,0.2307692307692307,0.5,1.9782608695652173,9.0,1.0,1.725626923692707,0,17.4022,5,11.89008,6.04081,../../human_images/human_config2_attempt0046.svg
28,10,59,78,0,0,8,2,88,11,rrrrrrrrrdllllllllldduurrrdrrrrrrdlllldrrrrdlllldrrrrdddllllrrruulllluluuuldrddllddldrru,1111111111/1111111111/1001111111/1011011111/0011011111/0001011111/0111111111/0100111111/1110000011/1110011111,human_images/human_config2_attempt0028.svg,human,human-28,wp57tp,2,config 2,0.1022727272727272,0.1931818181818181,0.3409090909090909,0.3636363636363636,0.3793103448275862,2.588235294117647,9.0,1.0,2.059663694119011,2,1.8849,1,-21.18333,0.86594,../../human_images/human_config2_attempt0028.svg
55,10,59,78,0,0,8,2,88,11,rrrrrrrrrdllllllllldduurrrdrrrrrrdlllldrrrrdlllldrrrrdddllllrrruulllluluuuldrddllddldrru,1111111111/1111111111/1001111111/1011011111/0011011111/0001011111/0111111111/0100111111/1110000011/1110011111,human_images/human_config2_attempt0055.svg,human,human-55,espazt,2,config 2,0.1022727272727272,0.1931818181818181,0.3409090909090909,0.3636363636363636,0.3793103448275862,2.588235294117647,9.0,1.0,2.059663694119011,2,1.8849,2,-21.18333,0.86594,../../human_images/human_config2_attempt0055.svg
27,10,59,78,0,0,8,2,94,17,ddduuurrrrrrrrrdllllllllrrdrrrrrrdlllldrrrrdlllldrrrrdddllllrrruulllluluuuuulrddldrddllddldrru,1111111111/1111111111/1001111111/1011011111/0011011111/0001011111/0111111111/0100111111/1110000011/1110011111,human_images/human_config2_attempt0027.svg,human,human-27,02w4ix,2,config 2,0.1276595744680851,0.2127659574468085,0.3191489361702128,0.3404255319148936,0.3870967741935484,2.5405405405405403,9.0,1.0,1.9672259875759832,2,3.7698,3,-17.23488,3.65621,../../human_images/human_config2_attempt0027.svg
21,10,59,78,0,0,3,6,97,20,rrrrrrrrrdddddddddllllrrruullllulllddrdlluruurrrrrrruuuuulllllllldduurrrdrrrrdddlldlluulururrddru,1111111111/1111111111/1001111111/1011011111/0011011111/0001011111/0111111111/0100111111/1110000011/1110011111,human_images/human_config2_attempt0021.svg,human,human-21,z4siol,2,config 2,0.1855670103092783,0.2164948453608247,0.268041237113402,0.3298969072164948,0.3645833333333333,2.6944444444444446,9.0,1.0,2.233823882001996,3,9.5941,1,-3.75414,-9.73511,../../human_images/human_config2_attempt0021.svg
36,10,59,78,0,0,3,0,93,16,rrrrrrrrrdddddddddllllrrruullllulllddldrruluurrrrrrruuuuullrddddlulduuruludllddduluruurlllldd,1111111111/1111111111/1001111111/1011011111/0011011111/0001011111/0111111111/0100111111/1110000011/1110011111,human_images/human_config2_attempt0036.svg,human,human-36,nr2iov,2,config 2,0.2150537634408602,0.2473118279569892,0.2688172043010752,0.2688172043010752,0.4239130434782608,2.325,9.0,1.0,2.0419047480232764,3,12.3857,2,5.70135,-8.00351,../../human_images/human_config2_attempt0036.svg
41,10,59,78,0,0,8,0,90,13,rrrrrrrrrdddddddddllllrrruulllurrrrlulllurrrulllurrrulllllllldduurrrrdldldrddrdulllddrdllu,1111111111/1111111111/1001111111/1011011111/0011011111/0001011111/0111111111/0100111111/1110000011/1110011111,human_images/human_config2_attempt0041.svg,human,human-41,zizsmx,2,config 2,0.1333333333333333,0.2222222222222222,0.3222222222222222,0.3222222222222222,0.4157303370786517,2.3684210526315788,9.0,1.0,2.0953714986730927,3,12.4601,3,-6.69891,-15.09957,../../human_images/human_config2_attempt0041.svg
59,10,59,78,0,0,3,8,93,16,rdldduurrurrrrrrrdllllllddldrddllddldrruluurrrdrrrrrddllllrrrrluuuruuuulllllrddddruuurdddruuu,1111111111/1111111111/1001111111/1011011111/0011011111/0001011111/0111111111/0100111111/1110000011/1110011111,human_images/human_config2_attempt0059.svg,human,human-59,gi4o94,2,config 2,0.2043010752688172,0.2365591397849462,0.2365591397849462,0.3225806451612903,0.4456521739130434,2.2142857142857144,7.0,1.0,1.520271189556626,1,9.806,1,-4.42081,6.15993,../../human_images/human_config2_attempt0059.svg
74,10,59,78,0,0,4,9,93,16,rrrrrrrrrdllllllllldduurrrddldrddllddldrruluurrrdrrrrddlllrrrruuuudllllurrrullluulrrdrurdrudd,1111111111/1111111111/1001111111/1011011111/0011011111/0001011111/0111111111/0100111111/1110000011/1110011111,human_images/human_config2_attempt0074.svg,human,human-74,02q6hy,2,config 2,0.1612903225806451,0.2043010752688172,0.2688172043010752,0.3655913978494624,0.4565217391304347,2.1627906976744184,9.0,1.0,1.7905466562716426,1,10.6033,2,-13.99356,1.86666,../../human_images/human_config2_attempt0074.svg
70,10,59,78,0,0,2,4,90,13,rrrrrrrrrdllllllllldduurrrddldrddllddldrruluurrrdrrrrddlllrrrruuuuuuulddddluuuulddddluuuul,1111111111/1111111111/1001111111/1011011111/0011011111/0001011111/0111111111/0100111111/1110000011/1110011111,human_images/human_config2_attempt0070.svg,human,human-70,pd8p8o,2,config 2,0.2222222222222222,0.2444444444444444,0.2444444444444444,0.2888888888888888,0.3820224719101123,2.5714285714285716,9.0,1.0,2.087865817879442,1,10.9323,3,0.73514,11.29886,../../human_images/human_config2_attempt0070.svg
